X_V, Y_V
-1.393,-0.098
-1.353,-0.028
-1.360,-0.037
-1.348,-0.050
-1.348,-0.074
-1.348,-0.080
-1.353,-0.084
-1.348,-0.088
-1.333,-0.043
-1.329,-0.065
-1.333,-0.069
-1.333,-0.071
-1.323,-0.034
-1.308,-0.054
-1.313,-0.058
-1.313,-0.061
-1.313,-0.101
-1.313,-0.028
-1.289,-0.048
-1.293,-0.052
-1.289,-0.075
-1.293,-0.079
-1.313,-0.081
-1.293,-0.085
-1.313,-0.087
-1.293,-0.090
-1.273,-0.040
-1.273,-0.044
-1.268,-0.064
-1.273,-0.068
-1.273,-0.071
-1.249,-0.055
-1.253,-0.059
-1.253,-0.062
-1.253,-0.100
-1.243,-0.020
-1.243,-0.034
-1.233,-0.047
-1.233,-0.051
-1.228,-0.075
-1.233,-0.078
-1.243,-0.080
-1.228,-0.090
-1.233,-0.102
-1.213,-0.040
-1.213,-0.044
-1.209,-0.066
-1.213,-0.070
-1.213,-0.072
-1.203,-0.030
-1.188,-0.056
-1.193,-0.059
-1.193,-0.062
-1.193,-0.083
-1.173,-0.048
-1.168,-0.052
-1.169,-0.077
-1.173,-0.080
-1.173,-0.090
-1.173,-0.093
-1.193,-0.102
-1.148,-0.043
-1.163,-0.045
-1.148,-0.067
-1.153,-0.070
-1.153,-0.073
-1.153,-0.096
-1.128,-0.058
-1.133,-0.062
-1.133,-0.064
-1.128,-0.084
-1.112,-0.024
-1.116,-0.029
-1.107,-0.050
-1.112,-0.054
-1.107,-0.077
-1.112,-0.081
-1.122,-0.090
-1.112,-0.094
-1.112,-0.100
-1.092,-0.043
-1.088,-0.068
-1.092,-0.072
-1.092,-0.075
-1.087,-0.096
-1.082,-0.019
-1.072,-0.057
-1.072,-0.060
-1.072,-0.063
-1.082,-0.084
-1.072,-0.102
-1.072,-0.024
-1.072,-0.030
-1.052,-0.048
-1.052,-0.051
-1.052,-0.054
-1.048,-0.079
-1.072,-0.081
-1.042,-0.034
-1.032,-0.039
-1.027,-0.066
-1.042,-0.069
-1.032,-0.072
-1.032,-0.075
-1.032,-0.096
-1.008,-0.057
-1.012,-0.062
-1.012,-0.064
-1.012,-0.102
-1.002,-0.027
-1.002,-0.044
-0.992,-0.047
-0.992,-0.053
-0.992,-0.078
-0.992,-0.082
-0.987,-0.086
-0.992,-0.091
-0.992,-0.038
-0.968,-0.068
-0.972,-0.072
-0.972,-0.075
-0.972,-0.096
-0.947,-0.057
-0.952,-0.061
-0.952,-0.064
-0.962,-0.105
-0.952,-0.048
-0.927,-0.054
-0.928,-0.078
-0.932,-0.082
-0.937,-0.085
-0.928,-0.090
-0.922,-0.034
-0.912,-0.038
-0.922,-0.044
-0.907,-0.068
-0.912,-0.071
-0.912,-0.074
-0.912,-0.094
-0.912,-0.100
-0.888,-0.059
-0.892,-0.063
-0.892,-0.065
-0.882,-0.030
-0.867,-0.049
-0.882,-0.051
-0.872,-0.054
-0.872,-0.078
-0.872,-0.081
-0.867,-0.085
-0.882,-0.087
-0.872,-0.091
-0.872,-0.038
-0.852,-0.069
-0.852,-0.072
-0.852,-0.075
-0.852,-0.093
-0.872,-0.100
-0.842,-0.018
-0.832,-0.040
-0.842,-0.043
-0.827,-0.058
-0.832,-0.061
-0.832,-0.064
-0.832,-0.067
-0.832,-0.049
-0.812,-0.055
-0.808,-0.079
-0.812,-0.083
-0.817,-0.086
-0.802,-0.022
-0.791,-0.071
-0.791,-0.074
-0.791,-0.089
-0.791,-0.040
-0.771,-0.059
-0.771,-0.062
-0.771,-0.065
-0.771,-0.068
-0.761,-0.032
-0.761,-0.046
-0.761,-0.049
-0.751,-0.052
-0.746,-0.057
-0.746,-0.078
-0.751,-0.081
-0.751,-0.084
-0.751,-0.087
-0.746,-0.092
-0.755,-0.099
-0.751,-0.105
-0.751,-0.108
-0.727,-0.072
-0.731,-0.075
-0.725,-0.089
-0.711,-0.061
-0.711,-0.064
-0.711,-0.067
-0.687,-0.052
-0.711,-0.055
-0.691,-0.058
-0.691,-0.079
-0.691,-0.082
-0.691,-0.085
-0.691,-0.094
-0.691,-0.097
-0.691,-0.106
-0.671,-0.032
-0.681,-0.044
-0.681,-0.047
-0.666,-0.071
-0.671,-0.074
-0.671,-0.077
-0.671,-0.088
-0.647,-0.062
-0.651,-0.066
-0.651,-0.068
-0.631,-0.050
-0.631,-0.055
-0.631,-0.058
-0.626,-0.081
-0.631,-0.085
-0.631,-0.093
-0.631,-0.032
-0.607,-0.072
-0.611,-0.076
-0.611,-0.079
-0.606,-0.087
-0.601,-0.038
-0.591,-0.064
-0.591,-0.067
-0.591,-0.097
-0.601,-0.110
-0.591,-0.052
-0.591,-0.056
-0.591,-0.059
-0.571,-0.082
-0.567,-0.090
-0.571,-0.094
-0.546,-0.071
-0.551,-0.074
-0.551,-0.077
-0.551,-0.080
-0.546,-0.086
-0.561,-0.103
-0.527,-0.065
-0.531,-0.068
-0.551,-0.098
-0.521,-0.028
-0.511,-0.060
-0.511,-0.090
-0.511,-0.093
-0.521,-0.106
-0.491,-0.072
-0.491,-0.075
-0.491,-0.078
-0.491,-0.081
-0.491,-0.084
-0.491,-0.087
-0.471,-0.045
-0.481,-0.050
-0.481,-0.054
-0.471,-0.063
-0.471,-0.066
-0.471,-0.069
-0.481,-0.096
-0.471,-0.102
-0.481,-0.110
-0.481,-0.113
-0.450,-0.060
-0.446,-0.091
-0.471,-0.093
-0.440,-0.030
-0.437,-0.043
-0.430,-0.072
-0.430,-0.075
-0.430,-0.078
-0.430,-0.081
-0.430,-0.084
-0.430,-0.087
-0.410,-0.063
-0.410,-0.066
-0.410,-0.069
-0.430,-0.102
-0.400,-0.040
-0.400,-0.056
-0.390,-0.061
-0.385,-0.090
-0.400,-0.093
-0.390,-0.096
-0.390,-0.116
-0.366,-0.073
-0.370,-0.077
-0.370,-0.080
-0.370,-0.083
-0.370,-0.086
-0.370,-0.088
-0.360,-0.044
-0.350,-0.065
-0.350,-0.068
-0.350,-0.098
-0.360,-0.109
-0.330,-0.062
-0.330,-0.092
-0.310,-0.057
-0.305,-0.071
-0.310,-0.075
-0.310,-0.078
-0.310,-0.081
-0.310,-0.084
-0.310,-0.087
-0.310,-0.090
-0.305,-0.095
-0.310,-0.116
-0.286,-0.065
-0.290,-0.069
-0.285,-0.098
-0.280,-0.042
-0.270,-0.061
-0.265,-0.104
-0.280,-0.107
-0.246,-0.056
-0.246,-0.073
-0.250,-0.077
-0.250,-0.080
-0.250,-0.083
-0.250,-0.086
-0.250,-0.089
-0.250,-0.092
-0.250,-0.095
-0.240,-0.048
-0.230,-0.065
-0.230,-0.068
-0.230,-0.101
-0.210,-0.062
-0.205,-0.104
-0.230,-0.106
-0.200,-0.038
-0.200,-0.044
-0.190,-0.056
-0.200,-0.059
-0.190,-0.071
-0.190,-0.074
-0.190,-0.077
-0.190,-0.080
-0.190,-0.083
-0.190,-0.086
-0.190,-0.089
-0.185,-0.093
-0.200,-0.095
-0.190,-0.098
-0.190,-0.111
-0.170,-0.065
-0.170,-0.068
-0.145,-0.062
-0.150,-0.056
-0.125,-0.071
-0.129,-0.075
-0.129,-0.078
-0.129,-0.081
-0.129,-0.084
-0.129,-0.087
-0.129,-0.090
-0.135,-0.093
-0.125,-0.098
-0.135,-0.110
-0.109,-0.066
-0.119,-0.102
-0.109,-0.106
-0.119,-0.114
-0.109,-0.061
-0.089,-0.118
-0.069,-0.054
-0.064,-0.069
-0.069,-0.073
-0.069,-0.076
-0.069,-0.079
-0.069,-0.082
-0.069,-0.085
-0.069,-0.088
-0.069,-0.091
-0.069,-0.094
-0.069,-0.097
-0.069,-0.100
-0.044,-0.066
-0.049,-0.108
-0.039,-0.036
-0.039,-0.050
-0.024,-0.058
-0.029,-0.062
-0.029,-0.103
-0.039,-0.111
-0.029,-0.054
-0.009,-0.072
-0.009,-0.075
-0.009,-0.077
-0.029,-0.079
-0.009,-0.082
-0.009,-0.085
-0.009,-0.088
-0.009,-0.092
-0.009,-0.095
-0.009,-0.098
-0.009,-0.101
0.001,-0.045
0.011,-0.065
0.011,-0.057
0.011,-0.062
0.035,-0.118
0.041,-0.036
0.041,-0.042
0.056,-0.070
0.051,-0.074
0.051,-0.077
0.051,-0.080
0.051,-0.083
0.051,-0.086
0.051,-0.089
0.051,-0.092
0.051,-0.095
0.051,-0.098
0.051,-0.100
0.056,-0.108
0.071,-0.064
0.091,-0.056
0.091,-0.114
0.081,-0.117
0.091,-0.120
0.115,-0.069
0.111,-0.073
0.111,-0.076
0.111,-0.079
0.111,-0.082
0.111,-0.085
0.111,-0.088
0.111,-0.091
0.111,-0.094
0.111,-0.097
0.111,-0.099
0.091,-0.101
0.091,-0.107
0.121,-0.044
0.136,-0.064
0.136,-0.104
0.121,-0.124
0.155,-0.057
0.151,-0.112
0.131,-0.120
0.171,-0.067
0.176,-0.072
0.171,-0.076
0.171,-0.079
0.171,-0.082
0.171,-0.085
0.171,-0.088
0.171,-0.091
0.171,-0.094
0.171,-0.097
0.161,-0.099
0.171,-0.062
0.191,-0.066
0.191,-0.102
0.171,-0.105
0.202,-0.056
0.232,-0.072
0.232,-0.075
0.232,-0.078
0.232,-0.081
0.232,-0.084
0.232,-0.087
0.232,-0.090
0.232,-0.093
0.232,-0.096
0.232,-0.099
0.242,-0.043
0.242,-0.048
0.242,-0.052
0.248,-0.103
0.248,-0.109
0.242,-0.117
0.282,-0.056
0.292,-0.067
0.297,-0.072
0.292,-0.076
0.292,-0.079
0.292,-0.082
0.292,-0.085
0.292,-0.088
0.292,-0.091
0.292,-0.094
0.292,-0.097
0.292,-0.100
0.292,-0.105
0.292,-0.112
0.297,-0.120
0.282,-0.124
0.319,-0.102
0.312,-0.108
0.332,-0.059
0.332,-0.062
0.325,-0.114
0.332,-0.066
0.356,-0.070
0.352,-0.074
0.352,-0.077
0.352,-0.080
0.352,-0.083
0.352,-0.086
0.352,-0.089
0.352,-0.092
0.352,-0.095
0.352,-0.098
0.332,-0.118
0.332,-0.121
0.372,-0.056
0.362,-0.101
0.362,-0.108
0.372,-0.061
0.402,-0.048
0.402,-0.064
0.402,-0.067
0.412,-0.073
0.412,-0.076
0.412,-0.079
0.412,-0.082
0.412,-0.085
0.412,-0.088
0.412,-0.091
0.412,-0.094
0.408,-0.097
0.402,-0.104
0.402,-0.116
0.412,-0.058
0.452,-0.042
0.456,-0.100
0.472,-0.074
0.472,-0.078
0.472,-0.081
0.472,-0.084
0.472,-0.087
0.472,-0.090
0.472,-0.093
0.472,-0.096
0.492,-0.106
0.492,-0.109
0.492,-0.113
0.492,-0.044
0.516,-0.099
0.512,-0.103
0.538,-0.071
0.522,-0.073
0.533,-0.076
0.533,-0.079
0.533,-0.082
0.533,-0.085
0.533,-0.088
0.533,-0.091
0.533,-0.094
0.533,-0.117
0.522,-0.122
0.553,-0.106
0.553,-0.109
0.533,-0.112
0.573,-0.044
0.563,-0.066
0.578,-0.097
0.573,-0.101
0.563,-0.103
0.593,-0.070
0.597,-0.076
0.593,-0.080
0.593,-0.083
0.593,-0.086
0.593,-0.089
0.593,-0.092
0.593,-0.095
0.573,-0.117
0.606,-0.046
0.603,-0.057
0.613,-0.106
0.603,-0.110
0.603,-0.114
0.633,-0.097
0.637,-0.102
0.653,-0.077
0.653,-0.080
0.653,-0.083
0.653,-0.086
0.653,-0.089
0.653,-0.092
0.653,-0.095
0.677,-0.106
0.683,-0.060
0.683,-0.070
0.693,-0.099
0.693,-0.102
0.693,-0.113
0.693,-0.117
0.693,-0.122
0.713,-0.078
0.713,-0.081
0.713,-0.084
0.713,-0.087
0.713,-0.090
0.713,-0.093
0.713,-0.096
0.738,-0.106
0.723,-0.126
0.757,-0.100
0.753,-0.103
0.748,-0.111
0.753,-0.114
0.757,-0.121
0.769,-0.067
0.778,-0.072
0.773,-0.076
0.778,-0.081
0.773,-0.084
0.773,-0.087
0.773,-0.090
0.773,-0.093
0.773,-0.096
0.797,-0.107
0.803,-0.056
0.813,-0.102
0.803,-0.111
0.813,-0.115
0.803,-0.124
0.833,-0.064
0.833,-0.070
0.833,-0.074
0.833,-0.078
0.833,-0.081
0.833,-0.084
0.833,-0.087
0.833,-0.090
0.833,-0.093
0.833,-0.096
0.833,-0.099
0.843,-0.052
0.858,-0.105
0.853,-0.120
0.879,-0.102
0.874,-0.115
0.894,-0.056
0.894,-0.082
0.894,-0.085
0.894,-0.088
0.894,-0.091
0.894,-0.094
0.894,-0.097
0.894,-0.110
0.894,-0.122
0.914,-0.106
0.934,-0.076
0.934,-0.100
0.934,-0.103
0.939,-0.113
0.924,-0.115
0.934,-0.118
0.924,-0.128
0.934,-0.056
0.954,-0.082
0.954,-0.085
0.954,-0.088
0.954,-0.091
0.954,-0.094
0.954,-0.097
0.954,-0.109
0.954,-0.121
0.934,-0.132
0.974,-0.068
0.974,-0.079
0.979,-0.106
0.964,-0.124
0.999,-0.076
0.994,-0.102
0.994,-0.104
0.989,-0.114
0.994,-0.118
1.019,-0.058
1.014,-0.072
1.019,-0.083
1.014,-0.086
1.004,-0.088
1.019,-0.092
1.014,-0.096
1.014,-0.098
1.014,-0.068
1.034,-0.108
1.044,-0.075
1.054,-0.079
1.059,-0.103
1.054,-0.106
1.044,-0.116
1.054,-0.120
1.054,-0.057
1.054,-0.072
