in s,C3 in V,C4 in V
4.7280E-07,5.615E-02,5.088E+00
4.7290E-07,5.615E-02,5.088E+00
4.7300E-07,5.615E-02,5.088E+00
4.7310E-07,5.127E-02,5.068E+00
4.7320E-07,5.127E-02,5.068E+00
4.7330E-07,4.639E-02,5.049E+00
4.7340E-07,4.639E-02,5.029E+00
4.7350E-07,4.150E-02,5.029E+00
4.7360E-07,4.150E-02,5.010E+00
4.7370E-07,4.150E-02,5.010E+00
4.7380E-07,4.150E-02,5.010E+00
4.7390E-07,4.150E-02,5.010E+00
4.7400E-07,4.150E-02,5.010E+00
4.7410E-07,4.150E-02,5.010E+00
4.7420E-07,4.150E-02,5.010E+00
4.7430E-07,4.639E-02,5.010E+00
4.7440E-07,4.639E-02,5.010E+00
4.7450E-07,4.639E-02,5.010E+00
4.7460E-07,4.639E-02,5.010E+00
4.7470E-07,4.639E-02,4.990E+00
4.7480E-07,4.639E-02,4.971E+00
4.7490E-07,4.639E-02,4.971E+00
