in s,Math in V
7.1040E-07,-1.43552E-04
7.1120E-07,-1.43552E-04
7.1200E-07,-1.63064E-04
7.1280E-07,-1.43552E-04
7.1360E-07,-2.21602E-04
7.1440E-07,-1.43552E-04
7.1520E-07,-1.24040E-04
7.1600E-07,-8.50146E-05
7.1680E-07,-1.43552E-04
7.1760E-07,-1.04527E-04
7.1840E-07,-1.82577E-04
7.1920E-07,-1.63064E-04
7.2000E-07,-1.04527E-04
7.2080E-07,-2.60627E-04
7.2160E-07,-1.04527E-04
7.2240E-07,-1.43552E-04
7.2320E-07,-1.24040E-04
7.2400E-07,-2.02089E-04
7.2480E-07,-1.82577E-04
7.2560E-07,-1.04527E-04
7.2640E-07,-1.43552E-04
7.2720E-07,-2.41114E-04
7.2800E-07,-8.50146E-05
7.2880E-07,-1.04527E-04
7.2960E-07,-1.04527E-04
7.3040E-07,-4.59896E-05
7.3120E-07,-6.55021E-05
7.3200E-07,-1.82577E-04
7.3280E-07,-1.24040E-04
7.3360E-07,-2.21602E-04
7.3440E-07,-1.43552E-04
7.3520E-07,-2.02089E-04
7.3600E-07,-2.02089E-04
7.3680E-07,-2.41114E-04
7.3760E-07,-1.63064E-04
7.3840E-07,-2.21602E-04
7.3920E-07,-8.50146E-05
7.4000E-07,-1.43552E-04
7.4080E-07,-1.04527E-04
7.4160E-07,-1.82577E-04
7.4240E-07,-2.80749E-04
7.4320E-07,-1.82577E-04
7.4400E-07,-2.41114E-04
7.4480E-07,-2.21602E-04
7.4560E-07,-2.21602E-04
7.4640E-07,-1.82577E-04
7.4720E-07,-1.43552E-04
7.4800E-07,-1.63064E-04
7.4880E-07,-1.82577E-04
7.4960E-07,-1.82577E-04
7.5040E-07,-1.43552E-04
7.5120E-07,-1.63064E-04
7.5200E-07,-1.24040E-04
7.5280E-07,-2.41114E-04
7.5360E-07,-1.63064E-04
7.5440E-07,-1.04527E-04
7.5520E-07,-1.63064E-04
7.5600E-07,-1.63064E-04
7.5680E-07,-1.24040E-04
7.5760E-07,-1.63064E-04
7.5840E-07,-1.82577E-04
7.5920E-07,-1.63064E-04
7.6000E-07,-4.59896E-05
7.6080E-07,-1.82577E-04
7.6160E-07,-1.24040E-04
7.6240E-07,-1.43552E-04
7.6320E-07,-1.43552E-04
7.6400E-07,-2.21602E-04
7.6480E-07,-1.63064E-04
7.6560E-07,-1.82577E-04
7.6640E-07,-1.24040E-04
7.6720E-07,-1.63064E-04
7.6800E-07,-1.63064E-04
7.6880E-07,-1.82577E-04
7.6960E-07,-1.63064E-04
7.7040E-07,-1.63064E-04
7.7120E-07,-1.43552E-04
7.7200E-07,-2.21602E-04
7.7280E-07,-2.60627E-04
7.7360E-07,-2.41114E-04
7.7440E-07,-2.41114E-04
7.7520E-07,-3.00262E-04
7.7600E-07,-2.21602E-04
7.7680E-07,-2.80749E-04
7.7760E-07,-2.02089E-04
7.7840E-07,-2.41114E-04
7.7920E-07,-1.43552E-04
7.8000E-07,-1.04527E-04
7.8080E-07,-2.41114E-04
7.8160E-07,-1.63064E-04
7.8240E-07,-2.02089E-04
7.8320E-07,-2.02089E-04
7.8400E-07,-1.04527E-04
7.8480E-07,-3.00262E-04
7.8560E-07,-1.24040E-04
7.8640E-07,-1.63064E-04
7.8720E-07,-2.02089E-04
7.8800E-07,-2.02089E-04
7.8880E-07,-2.02089E-04
7.8960E-07,-2.02089E-04
7.9040E-07,-1.63064E-04
7.9120E-07,-1.82577E-04
7.9200E-07,-1.04527E-04
7.9280E-07,-3.00262E-04
7.9360E-07,-1.82577E-04
7.9440E-07,-2.02089E-04
7.9520E-07,-1.82577E-04
7.9600E-07,-1.82577E-04
7.9680E-07,-1.63064E-04
7.9760E-07,-1.24040E-04
7.9840E-07,-2.21602E-04
7.9920E-07,-2.64772E-05
8.0000E-07,-1.24040E-04
8.0080E-07,-2.02089E-04
8.0160E-07,-1.82577E-04
8.0240E-07,-1.82577E-04
8.0320E-07,-1.43552E-04
8.0400E-07,-1.43552E-04
8.0480E-07,-8.50146E-05
8.0560E-07,-1.63064E-04
8.0640E-07,-1.63064E-04
8.0720E-07,-1.63064E-04
8.0800E-07,-1.24040E-04
8.0880E-07,-1.82577E-04
8.0960E-07,-8.50146E-05
8.1040E-07,-1.24040E-04
8.1120E-07,-2.64772E-05
8.1200E-07,1.25478E-05
8.1280E-07,-4.59896E-05
8.1360E-07,-1.63064E-04
8.1440E-07,-2.02089E-04
8.1520E-07,-1.82577E-04
8.1600E-07,-1.04527E-04
8.1680E-07,-1.43552E-04
8.1760E-07,-1.04527E-04
8.1840E-07,-6.55021E-05
8.1920E-07,-1.43552E-04
8.2000E-07,-1.04527E-04
8.2080E-07,-2.02089E-04
8.2160E-07,-2.41114E-04
8.2240E-07,-1.24040E-04
8.2320E-07,-1.63064E-04
8.2400E-07,-1.04527E-04
8.2480E-07,-1.24040E-04
8.2560E-07,-1.82577E-04
8.2640E-07,-2.80749E-04
8.2720E-07,-1.82577E-04
8.2800E-07,-2.02089E-04
8.2880E-07,-1.82577E-04
8.2960E-07,-1.24040E-04
8.3040E-07,-6.55021E-05
8.3120E-07,-1.24040E-04
8.3200E-07,-1.24040E-04
8.3280E-07,-1.63064E-04
8.3360E-07,-2.80749E-04
8.3440E-07,-2.02089E-04
8.3520E-07,-1.63064E-04
8.3600E-07,-1.43552E-04
8.3680E-07,-1.43552E-04
8.3760E-07,-1.24040E-04
8.3840E-07,-1.24040E-04
8.3920E-07,-1.43552E-04
8.4000E-07,-2.02089E-04
8.4080E-07,-2.80749E-04
8.4160E-07,-2.41114E-04
8.4240E-07,-1.43552E-04
8.4320E-07,-4.59896E-05
8.4400E-07,-4.59896E-05
8.4480E-07,-1.63064E-04
8.4560E-07,-1.04527E-04
8.4640E-07,-1.43552E-04
8.4720E-07,-1.04527E-04
8.4800E-07,-1.43552E-04
8.4880E-07,-1.04527E-04
8.4960E-07,-1.82577E-04
8.5040E-07,-8.50146E-05
8.5120E-07,-2.02089E-04
8.5200E-07,-2.21602E-04
8.5280E-07,-1.63064E-04
8.5360E-07,-1.63064E-04
8.5440E-07,-2.60627E-04
8.5520E-07,-1.82577E-04
8.5600E-07,-8.50146E-05
8.5680E-07,-1.24040E-04
8.5760E-07,-1.63064E-04
8.5840E-07,-1.63064E-04
8.5920E-07,-1.82577E-04
8.6000E-07,-2.02089E-04
8.6080E-07,-1.04527E-04
8.6160E-07,-1.82577E-04
8.6240E-07,-1.43552E-04
8.6320E-07,-4.59896E-05
8.6400E-07,-2.41114E-04
8.6480E-07,-1.82577E-04
8.6560E-07,-1.24040E-04
8.6640E-07,-2.02089E-04
8.6720E-07,-1.43552E-04
8.6800E-07,-1.43552E-04
8.6880E-07,-1.82577E-04
8.6960E-07,-2.02089E-04
8.7040E-07,-2.02089E-04
8.7120E-07,-2.41114E-04
8.7200E-07,-3.00262E-04
8.7280E-07,-2.41114E-04
8.7360E-07,-1.24040E-04
8.7440E-07,-1.43552E-04
8.7520E-07,-1.43552E-04
8.7600E-07,-1.63064E-04
8.7680E-07,-1.63064E-04
8.7760E-07,-1.63064E-04
8.7840E-07,-2.02089E-04
8.7920E-07,-2.02089E-04
8.8000E-07,-2.02089E-04
8.8080E-07,-1.82577E-04
8.8160E-07,-1.63064E-04
8.8240E-07,-1.24040E-04
8.8320E-07,-1.82577E-04
8.8400E-07,-1.43552E-04
8.8480E-07,-2.41114E-04
8.8560E-07,-2.21602E-04
8.8640E-07,-1.82577E-04
8.8720E-07,-1.63064E-04
8.8800E-07,-1.24040E-04
8.8880E-07,-6.55021E-05
8.8960E-07,-1.63064E-04
8.9040E-07,-1.43552E-04
8.9120E-07,-1.63064E-04
8.9200E-07,-1.43552E-04
8.9280E-07,-1.82577E-04
8.9360E-07,-1.63064E-04
8.9440E-07,-1.63064E-04
8.9520E-07,-1.43552E-04
8.9600E-07,-2.02089E-04
8.9680E-07,-1.82577E-04
8.9760E-07,-2.21602E-04
8.9840E-07,-2.21602E-04
8.9920E-07,-2.80749E-04
9.0000E-07,-2.41114E-04
9.0080E-07,-1.63064E-04
9.0160E-07,-1.63064E-04
9.0240E-07,-2.21602E-04
9.0320E-07,-1.43552E-04
9.0400E-07,-1.43552E-04
9.0480E-07,-2.21602E-04
9.0560E-07,-1.82577E-04
