in s,C1 in V,C2 in V,C4 in V
5.6240E-07,-4.028E-02,4.075E-02,5.029E+00
5.6320E-07,-4.272E-02,3.879E-02,4.971E+00
5.6400E-07,-3.931E-02,4.026E-02,5.068E+00
5.6480E-07,-4.126E-02,4.026E-02,5.029E+00
5.6560E-07,-3.833E-02,3.831E-02,5.088E+00
5.6640E-07,-3.882E-02,3.831E-02,5.029E+00
5.6720E-07,-3.687E-02,3.733E-02,5.127E+00
5.6800E-07,-3.638E-02,3.831E-02,5.029E+00
5.6880E-07,-3.735E-02,3.587E-02,5.088E+00
5.6960E-07,-3.687E-02,3.635E-02,5.010E+00
5.7040E-07,-3.638E-02,3.684E-02,5.029E+00
5.7120E-07,-3.687E-02,3.635E-02,5.049E+00
5.7200E-07,-3.589E-02,3.489E-02,5.088E+00
5.7280E-07,-3.540E-02,3.489E-02,5.010E+00
5.7360E-07,-3.345E-02,3.391E-02,5.068E+00
5.7440E-07,-3.491E-02,3.440E-02,4.990E+00
5.7520E-07,-3.394E-02,3.342E-02,5.029E+00
5.7600E-07,-3.442E-02,3.294E-02,5.029E+00
5.7680E-07,-3.198E-02,3.391E-02,5.049E+00
5.7760E-07,-3.345E-02,3.196E-02,5.049E+00
5.7840E-07,-3.052E-02,3.294E-02,5.010E+00
5.7920E-07,-3.198E-02,3.147E-02,5.029E+00
5.8000E-07,-3.052E-02,3.196E-02,5.068E+00
5.8080E-07,-3.198E-02,3.098E-02,5.010E+00
5.8160E-07,-2.954E-02,3.098E-02,5.029E+00
5.8240E-07,-3.101E-02,3.049E-02,4.971E+00
5.8320E-07,-2.856E-02,2.952E-02,5.049E+00
5.8400E-07,-2.954E-02,3.001E-02,5.029E+00
5.8480E-07,-2.856E-02,2.903E-02,5.068E+00
5.8560E-07,-3.052E-02,2.854E-02,5.010E+00
5.8640E-07,-2.905E-02,2.854E-02,5.029E+00
5.8720E-07,-2.954E-02,2.903E-02,5.010E+00
5.8800E-07,-2.759E-02,2.756E-02,5.068E+00
5.8880E-07,-2.808E-02,2.659E-02,5.029E+00
5.8960E-07,-2.661E-02,2.854E-02,5.088E+00
5.9040E-07,-2.856E-02,2.610E-02,5.029E+00
5.9120E-07,-2.661E-02,2.659E-02,5.049E+00
5.9200E-07,-2.759E-02,2.756E-02,4.990E+00
5.9280E-07,-2.661E-02,2.463E-02,5.088E+00
5.9360E-07,-2.661E-02,2.610E-02,5.068E+00
5.9440E-07,-2.563E-02,2.415E-02,5.049E+00
5.9520E-07,-2.661E-02,2.415E-02,4.990E+00
5.9600E-07,-2.466E-02,2.415E-02,5.029E+00
5.9680E-07,-2.661E-02,2.512E-02,5.010E+00
5.9760E-07,-2.368E-02,2.171E-02,5.068E+00
5.9840E-07,-2.515E-02,2.366E-02,5.029E+00
5.9920E-07,-2.319E-02,2.219E-02,5.127E+00
6.0000E-07,-2.417E-02,2.415E-02,5.029E+00
6.0080E-07,-2.271E-02,2.268E-02,5.068E+00
6.0160E-07,-2.319E-02,2.268E-02,5.010E+00
6.0240E-07,-2.173E-02,2.122E-02,5.049E+00
6.0320E-07,-2.222E-02,2.171E-02,5.049E+00
6.0400E-07,-2.124E-02,2.073E-02,5.068E+00
6.0480E-07,-2.319E-02,2.219E-02,5.029E+00
6.0560E-07,-2.222E-02,2.024E-02,5.088E+00
